"","date","RT_sum","fav_sum","RT_avg","fav_avg","count","maxresponse","approve","disapprove","viral"
"1",2017-02-01,60583,252382,60583,252382,1,312965,44.79341,44.69287,"95"
"2",2017-02-02,241111,1042808,30138.875,130351,8,273921,44.81124,44.79839,"95"
"3",2017-02-03,268276,1106263,38325.1428571429,158037.571428571,7,249889,44.21341,47.06427,"90"
"4",2017-02-04,291103,1370895,32344.7777777778,152321.666666667,9,322036,44.23746,47.03533,"95"
"5",2017-02-05,133725,671274,22287.5,111879,6,221608,44.43742,47.4848,"NA"
"6",2017-02-06,160495,705010,26749.1666666667,117501.666666667,6,340518,44.42256,48.03367,"95"
"7",2017-02-07,117832,534056,23566.4,106811.2,5,238745,44.65995,48.71205,"90"
"8",2017-02-08,241568,1124028,21960.7272727273,102184.363636364,11,193620,44.50491,48.8634,"NA"
"9",2017-02-09,187485,875315,23435.625,109414.375,8,305062,44.34582,49.3256,"95"
"10",2017-02-10,81639,356367,27213,118789,3,200563,44.28156,49.35836,"NA"
"11",2017-02-11,139353,863381,15483.6666666667,95931.2222222222,9,235877,44.42348,49.29364,"90"
"12",2017-02-12,161655,813482,20206.875,101685.25,8,177908,44.30565,49.4447,"NA"
"13",2017-02-13,40660,244511,13553.3333333333,81503.6666666667,3,100828,43.46242,50.64742,"NA"
"14",2017-02-14,91482,459057,15247,76509.5,6,137906,44.47177,50.36843,"NA"
"15",2017-02-15,259443,991177,23585.7272727273,90107,11,164143,44.49281,50.23329,"NA"
"16",2017-02-16,131743,657803,21957.1666666667,109633.833333333,6,151452,44.57693,50.21927,"NA"
"17",2017-02-17,153317,761912,19164.625,95239,8,215022,44.46416,50.34889,"NA"
"18",2017-02-18,68413,384527,17103.25,96131.75,4,225094,44.31153,50.62162,"NA"
"19",2017-02-19,26224,112115,26224,112115,1,138339,44.10547,50.62915,"NA"
"20",2017-02-20,99441,489861,24860.25,122465.25,4,291321,43.83627,50.03596,"95"
"21",2017-02-21,65769,319131,21923,106377,3,144180,43.66503,50.16118,"NA"
"22",2017-02-22,28352,195970,14176,97985,2,132860,42.54541,50.79599,"NA"
"23",2017-02-23,10563,56246,10563,56246,1,66809,43.00062,49.79304,"NA"
