"","emotion"
"1","anger"
"2","trust"
"3","trust"
"4","sadness"
"5","anticipation"
"6","anticipation"
"7","fear"
"8","trust"
"9","anger"
"10","anger"
"11","anticipation"
"12","anticipation"
"13","trust"
"14","anticipation"
"15","fear"
"16","sadness"
"17","anticipation"
"18","anticipation"
"19","trust"
"20","anticipation"
"21","trust"
"22","anger"
"23","joy"
"24","anticipation"
"25","trust"
"26","trust"
"27","trust"
"28","anticipation"
"29","anger"
"30","fear"
"31","anger"
"32","trust"
"33","trust"
"34","trust"
"35","trust"
"36","trust"
"37","anticipation"
"38","anger"
"39","anticipation"
"40",NA
"41","trust"
"42","anticipation"
"43","anticipation"
"44","trust"
"45","trust"
"46","trust"
"47","anger"
"48","trust"
"49","trust"
"50","anger"
"51","fear"
"52","anticipation"
"53","anticipation"
"54","joy"
"55","trust"
"56","anticipation"
"57","fear"
"58","fear"
"59","anticipation"
"60","anticipation"
"61","trust"
"62","trust"
"63","anticipation"
"64","trust"
"65","trust"
"66",NA
"67","trust"
"68","fear"
"69","trust"
"70","trust"
"71","trust"
"72","trust"
"73","anger"
"74",NA
"75","sadness"
"76","sadness"
"77","anger"
"78","anticipation"
"79","trust"
"80","fear"
"81","trust"
"82","trust"
"83","anticipation"
"84","fear"
"85","trust"
"86","trust"
"87","joy"
"88","anticipation"
"89","anticipation"
"90","trust"
"91","anticipation"
"92","trust"
"93","anticipation"
"94","trust"
"95","joy"
"96","trust"
"97","surprise"
"98","anticipation"
"99","trust"
"100","trust"
"101","trust"
"102","anticipation"
"103","joy"
"104","anticipation"
"105","trust"
"106","trust"
"107","trust"
"108","surprise"
"109","trust"
"110","trust"
"111","anticipation"
"112","trust"
"113","surprise"
"114","joy"
"115","trust"
"116","trust"
"117","trust"
"118","trust"
"119","fear"
"120","trust"
"121","trust"
"122","anger"
"123","trust"
"124","fear"
"125","trust"
"126","sadness"
"127","trust"
"128",NA
"129","trust"
"130","anticipation"
"131","anticipation"
"132","anger"
"133","disgust"
"134","joy"
"135","trust"
"136","trust"
"137","joy"
"138","trust"
"139","sadness"
"140","anger"
"141","trust"
"142","fear"
"143","trust"
"144","fear"
"145","anger"
"146","anger"
"147","anger"
"148","trust"
"149","trust"
"150","trust"
"151","trust"
"152","anticipation"
"153","trust"
"154","anticipation"
"155","trust"
"156","anticipation"
"157","trust"
"158","trust"
"159","trust"
"160","trust"
"161","trust"
"162","trust"
"163","joy"
"164","trust"
"165","anticipation"
"166","trust"
"167","trust"
"168","trust"
"169","trust"
"170","anger"
"171","anticipation"
"172","anticipation"
"173","anticipation"
"174","fear"
"175","anticipation"
"176","trust"
"177","trust"
"178","trust"
"179","trust"
"180","fear"
"181","fear"
"182","surprise"
"183","trust"
"184","anticipation"
"185","anticipation"
"186","anticipation"
"187","anger"
"188","anticipation"
"189","trust"
"190","anticipation"
"191","sadness"
"192","trust"
"193","trust"
"194",NA
"195","trust"
"196","trust"
"197","sadness"
"198","trust"
"199","fear"
"200","fear"
"201","anger"
"202","anticipation"
"203","trust"
"204","trust"
"205","trust"
"206","trust"
"207","trust"
"208","trust"
"209",NA
"210","trust"
"211","anger"
"212","joy"
"213","anticipation"
"214","anticipation"
"215","trust"
"216","trust"
"217","trust"
"218","trust"
"219","anticipation"
"220","trust"
"221","fear"
"222","trust"
"223","trust"
"224","fear"
"225","sadness"
"226","sadness"
"227","fear"
"228","trust"
"229","trust"
"230","anticipation"
"231","trust"
"232","trust"
"233","trust"
"234","anger"
"235","trust"
"236","trust"
"237","trust"
"238","trust"
"239","anticipation"
"240","trust"
"241","trust"
"242","trust"
"243","trust"
"244","anticipation"
"245","trust"
"246","trust"
"247","trust"
"248","anger"
"249","anticipation"
"250","trust"
"251","surprise"
"252","trust"
"253","trust"
"254","trust"
"255","fear"
"256","trust"
"257","anger"
"258","anticipation"
"259","sadness"
"260","trust"
"261","trust"
"262","trust"
"263","trust"
"264","anticipation"
"265","trust"
"266","sadness"
"267","trust"
"268","trust"
"269","joy"
"270","fear"
"271","anger"
"272","anger"
"273","trust"
"274","sadness"
"275","trust"
"276","trust"
"277","trust"
"278","trust"
"279","trust"
"280","trust"
"281","trust"
"282","trust"
"283","trust"
"284","joy"
"285","trust"
"286","trust"
"287","trust"
"288","trust"
"289","sadness"
"290","sadness"
"291","anticipation"
"292","trust"
"293","anticipation"
"294","joy"
"295","anticipation"
"296","fear"
"297","fear"
"298","trust"
"299","anger"
"300","anticipation"
"301","trust"
"302","trust"
"303","trust"
"304","trust"
"305","trust"
"306","anger"
"307","anger"
"308","trust"
"309","anticipation"
"310","trust"
"311","trust"
"312","trust"
"313","trust"
"314","anticipation"
"315","anger"
"316","trust"
"317","anticipation"
"318","trust"
"319","joy"
"320","trust"
"321","trust"
"322","trust"
"323","sadness"
"324","anger"
"325","anticipation"
"326","trust"
"327","trust"
"328","joy"
"329","anticipation"
"330","fear"
"331","anticipation"
"332","anger"
"333","anger"
"334","trust"
"335",NA
"336",NA
"337",NA
"338",NA
"339",NA
"340",NA
"341",NA
"342",NA
"343","trust"
"344","trust"
"345","trust"
"346","anticipation"
"347","anger"
"348","trust"
"349","trust"
"350","trust"
"351","trust"
"352","trust"
"353","trust"
"354","fear"
"355","trust"
"356","trust"
"357","anticipation"
"358","trust"
"359","trust"
"360","trust"
"361","trust"
"362","anticipation"
"363","anger"
"364",NA
"365","anger"
"366","anticipation"
"367","trust"
"368","anger"
"369","trust"
"370","trust"
"371","trust"
"372","trust"
"373","trust"
"374","anticipation"
"375","trust"
"376","sadness"
"377","anger"
"378","anticipation"
"379","trust"
"380","fear"
"381","sadness"
"382","trust"
"383","trust"
"384","trust"
"385","trust"
"386","anticipation"
"387","trust"
"388","trust"
"389","anger"
"390","trust"
"391",NA
"392","trust"
"393","trust"
"394","trust"
"395","fear"
"396","trust"
"397","anticipation"
"398","trust"
"399","anticipation"
"400","trust"
"401","trust"
"402","trust"
"403","trust"
"404","trust"
"405","trust"
"406","trust"
"407","trust"
"408","trust"
