"Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-13.4088740823221,5.07815388888932,-2.64050172084384,0.00986848943115855
"n",-0.00216756295287058,0.0241290070447993,-0.0898322483327292,0.928634372418345
"response",4.21947950232194e-05,2.21996476972865e-05,1.90069660557617,0.0607715489122778
"emote.11",2.72034979660778,4.55036716456529,0.597830833914183,0.551561202899613
"emote.21",-5.9632924833881,4.48406474188094,-1.3298854558658,0.187155908047626
"emote.31",-0.779688874009143,3.86395842192086,-0.201785006170315,0.840572675325911
"sent",9.77761870904305,4.6288590675813,2.11231721819349,0.0376286660189132
"response:emote.11",-2.1338367637169e-05,3.1473629065103e-05,-0.677976079372057,0.499650181519324
"response:emote.31",-6.95386173511077e-06,2.30694663382531e-05,-0.301431408648586,0.763830494594989
"response:sent",-6.40089006249246e-05,2.71749738156197e-05,-2.35543559523629,0.0208315470498564
